mzizi_wa_neno,kidahizo,nafsi_ya_kwanza_umoja_wakati_uliopita,nafsi_ya_kwanza_umoja_wakati_uliopo,nafsi_ya_kwanza_umoja_wakati_timilifu,nafsi_ya_kwanza_umoja_wakati_ujao,nafsi_ya_kwanza_wingi_wakati_uliopita,nafsi_ya_kwanza_wingi_wakati_uliopo,nafsi_ya_kwanza_umoja_wingi_timilifu,nafsi_ya_kwanza_wingi_wakati_ujao,nafsi_ya_pili_umoja_wakati_uliopita,nafsi_ya_pili_umoja_wakati_uliopo,nafsi_ya_pili_umoja_wakati_timilifu,nafsi_ya_pili_umoja_wakati_ujao,nafsi_ya_pili_uwingi_wakati_uliopita,nafsi_ya_pili_uwingi_wakati_uliopo,nafsi_ya_pili_uwingi_wakati_timilifu,nafsi_ya_pili_uwingi_wakati_ujao,nafsi_ya_tatu_umoja_wakati_uliopita,nafsi_ya_tatu_umoja_wakati_uliopo,nafsi_ya_tatu_umoja_wakati_timilifu,nafsi_ya_tatu_umoja_wakati_ujao,nafsi_ya_tatu_uwingi_wakati_uliopita,nafsi_ya_tatu_uwingi_wakati_uliopo,nafsi_ya_tatu_uwingi_wakati_timilifu,nafsi_ya_tatu_uwingi_wakati_ujao,hali_ya_mazoea,kiambishi_asili,kum_kumu,kuwa,ninge,unge,ange,tunge,mnge,wange,ningali,ungali,angali,tungali,mngali,wangali,niliye,uliye,aliye,tuliye,mliye,waliye,nilio,ulio,alio,tulio,mlio,walio,nilipo,ulipo,alipo,tulipo,mlipo,walipo,nijapo,ujapo,ajapo,tujapo,mjapo,wajapo,nisipo,usipo,asipo,tusipo,msipo,wasipo,niki,uki,aki,tuki,mki,niliya,uliya,aliya,tuliya,mliya,waliya,waki,nilicho,ulicho,alicho,tulicho,mlicho,walicho,yalio,kilicho,zilizo,ina,ita,ili,ime,inge,ingali,iliye,ilio,iliyo,ilipo,iki,ilicho,zina,zita,zili,zime,zinge,zingali,ziliye,zilio,ziliyo,zilipo,ziki,yana,yata,yali,yame,yange,yangali,yaliye,yaliyo,yalipo,yaki,lililo,aliyo,lili,niliye,ninaye,nitaye,tuliye,tunaye,tutaye,uliye,unaye,utaye,mliye,mnaye,mtaye,aliye,anaye,ataye,waliye,wanaye,wataye
changam,changamka,nilichangamka,ninachangamka,nimechangamka,nitachangamka,tulichangamka,tunachangamka,tumechangamka,tutachangamka,ulichangamka,unachangamka,umechangamka,utachangamka,mlichangamka,mnachangamka,mmechangamka,mtachangamka,alichangamka,anachangamka,amechangamka,atachangamka,walichangamka,wanachangamka,wamechangamka,watachangamka,huchangamka,kuchangamka,kumchangamka,kuwachangamka,ningechangamka,ungechangamka,angechangamka,tungechangamka,mngechangamka,wangechangamka,ningalichangamka,ungalichangamka,angalichangamka,tungalichangamka,mngalichangamka,wangalichangamka,niliyechangamka,uliyechangamka,aliyechangamka,tuliyechangamka,mliyechangamka,waliyechangamka,niliochangamka,uliochangamka,aliochangamka,tuliochangamka,mliochangamka,waliochangamka,nilipochangamka,ulipochangamka,alipochangamka,tulipochangamka,mlipochangamka,walipochangamka,nijapochangamka,ujapochangamka,ajapochangamka,tujapochangamka,mjapochangamka,wajapochangamka,nisipochangamka,usipochangamka,asipochangamka,tusipochangamka,msipochangamka,wasipochangamka,nikichangamka,ukichangamka,akichangamka,tukichangamka,mkichangamka,niliyachangamka,uliyachangamka,aliyachangamka,tuliyachangamka,mliyachangamka,waliyachangamka,wakichangamka,nilichochangamka,ulichochangamka,alichochangamka,tulichochangamka,mlichochangamka,walichochangamka,yaliochangamka,kilichochangamka,zilizochangamka,inachangamka,itachangamka,ilichangamka,imechangamka,ingechangamka,ingalichangamka,iliyechangamka,iliochangamka,iliyochangamka,ilipochangamka,ikichangamka,ilichochangamka,zinachangamka,zitachangamka,zilichangamka,zimechangamka,zingechangamka,zingalichangamka,ziliyechangamka,ziliochangamka,ziliochangamka,zilipochangamka,zikichangamka,yanachangamka,yatachangamka,yalichangamka,yamechangamka,yangechangamka,yangalichangamka,yaliyechangamka,yaliyochangamka,yalipochangamka,yakichangamka,lililochangamka,aliyochangamka,lilichangamka,niliyechangamka,ninayechangamka,nitayechangamka,tuliyechangamka,tunayechangamka,tutayechangamka,uliyechangamka,unayechangamka,utayechangamka,mliyechangamka,mnayechangamka,mtayechangamka,aliyechangamka,anayechangamka,atayechangamka,waliyechangamka,wanayechangamka,watayechangamka
pokony,pokonya,nilipokonya,ninapokonya,nimepokonya,nitapokonya,tulipokonya,tunapokonya,tumepokonya,tutapokonya,ulipokonya,unapokonya,umepokonya,utapokonya,mlipokonya,mnapokonya,mmepokonya,mtapokonya,alipokonya,anapokonya,amepokonya,atapokonya,walipokonya,wanapokonya,wamepokonya,watapokonya,hupokonya,kupokonya,kumpokonya,kuwapokonya,ningepokonya,ungepokonya,angepokonya,tungepokonya,mngepokonya,wangepokonya,ningalipokonya,ungalipokonya,angalipokonya,tungalipokonya,mngalipokonya,wangalipokonya,niliyepokonya,uliyepokonya,aliyepokonya,tuliyepokonya,mliyepokonya,waliyepokonya,niliopokonya,uliopokonya,aliopokonya,tuliopokonya,mliopokonya,waliopokonya,nilipopokonya,ulipopokonya,alipopokonya,tulipopokonya,mlipopokonya,walipopokonya,nijapopokonya,ujapopokonya,ajapopokonya,tujapopokonya,mjapopokonya,wajapopokonya,nisipopokonya,usipopokonya,asipopokonya,tusipopokonya,msipopokonya,wasipopokonya,nikipokonya,ukipokonya,akipokonya,tukipokonya,mkipokonya,niliyapokonya,uliyapokonya,aliyapokonya,tuliyapokonya,mliyapokonya,waliyapokonya,wakipokonya,nilichopokonya,ulichopokonya,alichopokonya,tulichopokonya,mlichopokonya,walichopokonya,yaliopokonya,kilichopokonya,zilizopokonya,inapokonya,itapokonya,ilipokonya,imepokonya,ingepokonya,ingalipokonya,iliyepokonya,iliopokonya,iliyopokonya,ilipopokonya,ikipokonya,ilichopokonya,zinapokonya,zitapokonya,zilipokonya,zimepokonya,zingepokonya,zingalipokonya,ziliyepokonya,ziliopokonya,ziliopokonya,zilipopokonya,zikipokonya,yanapokonya,yatapokonya,yalipokonya,yamepokonya,yangepokonya,yangalipokonya,yaliyepokonya,yaliyopokonya,yalipopokonya,yakipokonya,lililopokonya,aliyopokonya,lilipokonya,niliyepokonya,ninayepokonya,nitayepokonya,tuliyepokonya,tunayepokonya,tutayepokonya,uliyepokonya,unayepokonya,utayepokonya,mliyepokonya,mnayepokonya,mtayepokonya,aliyepokonya,anayepokonya,atayepokonya,waliyepokonya,wanayepokonya,watayepokonya
chuj,chuja,nilichuja,ninachuja,nimechuja,nitachuja,tulichuja,tunachuja,tumechuja,tutachuja,ulichuja,unachuja,umechuja,utachuja,mlichuja,mnachuja,mmechuja,mtachuja,alichuja,anachuja,amechuja,atachuja,walichuja,wanachuja,wamechuja,watachuja,huchuja,kuchuja,kumchuja,kuwachuja,ningechuja,ungechuja,angechuja,tungechuja,mngechuja,wangechuja,ningalichuja,ungalichuja,angalichuja,tungalichuja,mngalichuja,wangalichuja,niliyechuja,uliyechuja,aliyechuja,tuliyechuja,mliyechuja,waliyechuja,niliochuja,uliochuja,aliochuja,tuliochuja,mliochuja,waliochuja,nilipochuja,ulipochuja,alipochuja,tulipochuja,mlipochuja,walipochuja,nijapochuja,ujapochuja,ajapochuja,tujapochuja,mjapochuja,wajapochuja,nisipochuja,usipochuja,asipochuja,tusipochuja,msipochuja,wasipochuja,nikichuja,ukichuja,akichuja,tukichuja,mkichuja,niliyachuja,uliyachuja,aliyachuja,tuliyachuja,mliyachuja,waliyachuja,wakichuja,nilichochuja,ulichochuja,alichochuja,tulichochuja,mlichochuja,walichochuja,yaliochuja,kilichochuja,zilizochuja,inachuja,itachuja,ilichuja,imechuja,ingechuja,ingalichuja,iliyechuja,iliochuja,iliyochuja,ilipochuja,ikichuja,ilichochuja,zinachuja,zitachuja,zilichuja,zimechuja,zingechuja,zingalichuja,ziliyechuja,ziliochuja,ziliochuja,zilipochuja,zikichuja,yanachuja,yatachuja,yalichuja,yamechuja,yangechuja,yangalichuja,yaliyechuja,yaliyochuja,yalipochuja,yakichuja,lililochuja,aliyochuja,lilichuja,niliyechuja,ninayechuja,nitayechuja,tuliyechuja,tunayechuja,tutayechuja,uliyechuja,unayechuja,utayechuja,mliyechuja,mnayechuja,mtayechuja,aliyechuja,anayechuja,atayechuja,waliyechuja,wanayechuja,watayechuja
fuman,fumana,nilifumana,ninafumana,nimefumana,nitafumana,tulifumana,tunafumana,tumefumana,tutafumana,ulifumana,unafumana,umefumana,utafumana,mlifumana,mnafumana,mmefumana,mtafumana,alifumana,anafumana,amefumana,atafumana,walifumana,wanafumana,wamefumana,watafumana,hufumana,kufumana,kumfumana,kuwafumana,ningefumana,ungefumana,angefumana,tungefumana,mngefumana,wangefumana,ningalifumana,ungalifumana,angalifumana,tungalifumana,mngalifumana,wangalifumana,niliyefumana,uliyefumana,aliyefumana,tuliyefumana,mliyefumana,waliyefumana,niliofumana,uliofumana,aliofumana,tuliofumana,mliofumana,waliofumana,nilipofumana,ulipofumana,alipofumana,tulipofumana,mlipofumana,walipofumana,nijapofumana,ujapofumana,ajapofumana,tujapofumana,mjapofumana,wajapofumana,nisipofumana,usipofumana,asipofumana,tusipofumana,msipofumana,wasipofumana,nikifumana,ukifumana,akifumana,tukifumana,mkifumana,niliyafumana,uliyafumana,aliyafumana,tuliyafumana,mliyafumana,waliyafumana,wakifumana,nilichofumana,ulichofumana,alichofumana,tulichofumana,mlichofumana,walichofumana,yaliofumana,kilichofumana,zilizofumana,inafumana,itafumana,ilifumana,imefumana,ingefumana,ingalifumana,iliyefumana,iliofumana,iliyofumana,ilipofumana,ikifumana,ilichofumana,zinafumana,zitafumana,zilifumana,zimefumana,zingefumana,zingalifumana,ziliyefumana,ziliofumana,ziliofumana,zilipofumana,zikifumana,yanafumana,yatafumana,yalifumana,yamefumana,yangefumana,yangalifumana,yaliyefumana,yaliyofumana,yalipofumana,yakifumana,lililofumana,aliyofumana,lilifumana,niliyefumana,ninayefumana,nitayefumana,tuliyefumana,tunayefumana,tutayefumana,uliyefumana,unayefumana,utayefumana,mliyefumana,mnayefumana,mtayefumana,aliyefumana,anayefumana,atayefumana,waliyefumana,wanayefumana,watayefumana
fich,jificha,nilijificha,ninajificha,nimejificha,nitajificha,tulijificha,tunajificha,tumejificha,tutajificha,ulijificha,unajificha,umejificha,utajificha,mlijificha,mnajificha,mmejificha,mtajificha,alijificha,anajificha,amejificha,atajificha,walijificha,wanajificha,wamejificha,watajificha,hujificha,kujificha,kumjificha,kuwajificha,ningejificha,ungejificha,angejificha,tungejificha,mngejificha,wangejificha,ningalijificha,ungalijificha,angalijificha,tungalijificha,mngalijificha,wangalijificha,niliyejificha,uliyejificha,aliyejificha,tuliyejificha,mliyejificha,waliyejificha,niliojificha,uliojificha,aliojificha,tuliojificha,mliojificha,waliojificha,nilipojificha,ulipojificha,alipojificha,tulipojificha,mlipojificha,walipojificha,nijapojificha,ujapojificha,ajapojificha,tujapojificha,mjapojificha,wajapojificha,nisipojificha,usipojificha,asipojificha,tusipojificha,msipojificha,wasipojificha,nikijificha,ukijificha,akijificha,tukijificha,mkijificha,niliyajificha,uliyajificha,aliyajificha,tuliyajificha,mliyajificha,waliyajificha,wakijificha,nilichojificha,ulichojificha,alichojificha,tulichojificha,mlichojificha,walichojificha,yaliojificha,kilichojificha,zilizojificha,inajificha,itajificha,ilijificha,imejificha,ingejificha,ingalijificha,iliyejificha,iliojificha,iliyojificha,ilipojificha,ikijificha,ilichojificha,zinajificha,zitajificha,zilijificha,zimejificha,zingejificha,zingalijificha,ziliyejificha,ziliojificha,ziliojificha,zilipojificha,zikijificha,yanajificha,yatajificha,yalijificha,yamejificha,yangejificha,yangalijificha,yaliyejificha,yaliyojificha,yalipojificha,yakijificha,lililojificha,aliyojificha,lilijificha,niliyejificha,ninayejificha,nitayejificha,tuliyejificha,tunayejificha,tutayejificha,uliyejificha,unayejificha,utayejificha,mliyejificha,mnayejificha,mtayejificha,aliyejificha,anayejificha,atayejificha,waliyejificha,wanayejificha,watayejificha
imb,imbisha,niliimbisha,ninaimbisha,nimeimbisha,nitaimbisha,tuliimbisha,tunaimbisha,tumeimbisha,tutaimbisha,uliimbisha,unaimbisha,umeimbisha,utaimbisha,mliimbisha,mnaimbisha,mmeimbisha,mtaimbisha,aliimbisha,anaimbisha,ameimbisha,ataimbisha,waliimbisha,wanaimbisha,wameimbisha,wataimbisha,huimbisha,kuimbisha,kumuimbisha,kuwaimbisha,ningeimbisha,ungeimbisha,angeimbisha,tungeimbisha,mngeimbisha,wangeimbisha,ningaliimbisha,ungaliimbisha,angaliimbisha,tungaliimbisha,mngaliimbisha,wangaliimbisha,niliyeimbisha,uliyeimbisha,aliyeimbisha,tuliyeimbisha,mliyeimbisha,waliyeimbisha,nilioimbisha,ulioimbisha,alioimbisha,tulioimbisha,mlioimbisha,walioimbisha,nilipoimbisha,ulipoimbisha,alipoimbisha,tulipoimbisha,mlipoimbisha,walipoimbisha,nijapoimbisha,ujapoimbisha,ajapoimbisha,tujapoimbisha,mjapoimbisha,wajapoimbisha,nisipoimbisha,usipoimbisha,asipoimbisha,tusipoimbisha,msipoimbisha,wasipoimbisha,nikiimbisha,ukiimbisha,akiimbisha,tukiimbisha,mkiimbisha,niliyaimbisha,uliyaimbisha,aliyaimbisha,tuliyaimbisha,mliyaimbisha,waliyaimbisha,wakiimbisha,nilichoimbisha,ulichoimbisha,alichoimbisha,tulichoimbisha,mlichoimbisha,walichoimbisha,yalioimbisha,kilichoimbisha,zilizoimbisha,inaimbisha,itaimbisha,iliimbisha,imeimbisha,ingeimbisha,ingaliimbisha,iliyeimbisha,ilioimbisha,iliyoimbisha,ilipoimbisha,ikiimbisha,ilichoimbisha,zinaimbisha,zitaimbisha,ziliimbisha,zimeimbisha,zingeimbisha,zingaliimbisha,ziliyeimbisha,zilioimbisha,zilioimbisha,zilipoimbisha,zikiimbisha,yanaimbisha,yataimbisha,yaliimbisha,yameimbisha,yangeimbisha,yangaliimbisha,yaliyeimbisha,yaliyoimbisha,yalipoimbisha,yakiimbisha,lililoimbisha,aliyoimbisha,liliimbisha,niliyeimbisha,ninayeimbisha,nitayeimbisha,tuliyeimbisha,tunayeimbisha,tutayeimbisha,uliyeimbisha,unayeimbisha,utayeimbisha,mliyeimbisha,mnayeimbisha,mtayeimbisha,aliyeimbisha,anayeimbisha,atayeimbisha,waliyeimbisha,wanayeimbisha,watayeimbisha
som,somea,nilisomea,ninasomea,nimesomea,nitasomea,tulisomea,tunasomea,tumesomea,tutasomea,ulisomea,unasomea,umesomea,utasomea,mlisomea,mnasomea,mmesomea,mtasomea,alisomea,anasomea,amesomea,atasomea,walisomea,wanasomea,wamesomea,watasomea,husomea,kusomea,kumsomea,kuwasomea,ningesomea,ungesomea,angesomea,tungesomea,mngesomea,wangesomea,ningalisomea,ungalisomea,angalisomea,tungalisomea,mngalisomea,wangalisomea,niliyesomea,uliyesomea,aliyesomea,tuliyesomea,mliyesomea,waliyesomea,niliosomea,uliosomea,aliosomea,tuliosomea,mliosomea,waliosomea,niliposomea,uliposomea,aliposomea,tuliposomea,mliposomea,waliposomea,nijaposomea,ujaposomea,ajaposomea,tujaposomea,mjaposomea,wajaposomea,nisiposomea,usiposomea,asiposomea,tusiposomea,msiposomea,wasiposomea,nikisomea,ukisomea,akisomea,tukisomea,mkisomea,niliyasomea,uliyasomea,aliyasomea,tuliyasomea,mliyasomea,waliyasomea,wakisomea,nilichosomea,ulichosomea,alichosomea,tulichosomea,mlichosomea,walichosomea,yaliosomea,kilichosomea,zilizosomea,inasomea,itasomea,ilisomea,imesomea,ingesomea,ingalisomea,iliyesomea,iliosomea,iliyosomea,iliposomea,ikisomea,ilichosomea,zinasomea,zitasomea,zilisomea,zimesomea,zingesomea,zingalisomea,ziliyesomea,ziliosomea,ziliosomea,ziliposomea,zikisomea,yanasomea,yatasomea,yalisomea,yamesomea,yangesomea,yangalisomea,yaliyesomea,yaliyosomea,yaliposomea,yakisomea,lililosomea,aliyosomea,lilisomea,niliyesomea,ninayesomea,nitayesomea,tuliyesomea,tunayesomea,tutayesomea,uliyesomea,unayesomea,utayesomea,mliyesomea,mnayesomea,mtayesomea,aliyesomea,anayesomea,atayesomea,waliyesomea,wanayesomea,watayesomea
fung,fungana,nilifungana,ninafungana,nimefungana,nitafungana,tulifungana,tunafungana,tumefungana,tutafungana,ulifungana,unafungana,umefungana,utafungana,mlifungana,mnafungana,mmefungana,mtafungana,alifungana,anafungana,amefungana,atafungana,walifungana,wanafungana,wamefungana,watafungana,hufungana,kufungana,kumfungana,kuwafungana,ningefungana,ungefungana,angefungana,tungefungana,mngefungana,wangefungana,ningalifungana,ungalifungana,angalifungana,tungalifungana,mngalifungana,wangalifungana,niliyefungana,uliyefungana,aliyefungana,tuliyefungana,mliyefungana,waliyefungana,niliofungana,uliofungana,aliofungana,tuliofungana,mliofungana,waliofungana,nilipofungana,ulipofungana,alipofungana,tulipofungana,mlipofungana,walipofungana,nijapofungana,ujapofungana,ajapofungana,tujapofungana,mjapofungana,wajapofungana,nisipofungana,usipofungana,asipofungana,tusipofungana,msipofungana,wasipofungana,nikifungana,ukifungana,akifungana,tukifungana,mkifungana,niliyafungana,uliyafungana,aliyafungana,tuliyafungana,mliyafungana,waliyafungana,wakifungana,nilichofungana,ulichofungana,alichofungana,tulichofungana,mlichofungana,walichofungana,yaliofungana,kilichofungana,zilizofungana,inafungana,itafungana,ilifungana,imefungana,ingefungana,ingalifungana,iliyefungana,iliofungana,iliyofungana,ilipofungana,ikifungana,ilichofungana,zinafungana,zitafungana,zilifungana,zimefungana,zingefungana,zingalifungana,ziliyefungana,ziliofungana,ziliofungana,zilipofungana,zikifungana,yanafungana,yatafungana,yalifungana,yamefungana,yangefungana,yangalifungana,yaliyefungana,yaliyofungana,yalipofungana,yakifungana,lililofungana,aliyofungana,lilifungana,niliyefungana,ninayefungana,nitayefungana,tuliyefungana,tunayefungana,tutayefungana,uliyefungana,unayefungana,utayefungana,mliyefungana,mnayefungana,mtayefungana,aliyefungana,anayefungana,atayefungana,waliyefungana,wanayefungana,watayefungana
pig,pigia,nilipigia,ninapigia,nimepigia,nitapigia,tulipigia,tunapigia,tumepigia,tutapigia,ulipigia,unapigia,umepigia,utapigia,mlipigia,mnapigia,mmepigia,mtapigia,alipigia,anapigia,amepigia,atapigia,walipigia,wanapigia,wamepigia,watapigia,hupigia,kupigia,kumpigia,kuwapigia,ningepigia,ungepigia,angepigia,tungepigia,mngepigia,wangepigia,ningalipigia,ungalipigia,angalipigia,tungalipigia,mngalipigia,wangalipigia,niliyepigia,uliyepigia,aliyepigia,tuliyepigia,mliyepigia,waliyepigia,niliopigia,uliopigia,aliopigia,tuliopigia,mliopigia,waliopigia,nilipopigia,ulipopigia,alipopigia,tulipopigia,mlipopigia,walipopigia,nijapopigia,ujapopigia,ajapopigia,tujapopigia,mjapopigia,wajapopigia,nisipopigia,usipopigia,asipopigia,tusipopigia,msipopigia,wasipopigia,nikipigia,ukipigia,akipigia,tukipigia,mkipigia,niliyapigia,uliyapigia,aliyapigia,tuliyapigia,mliyapigia,waliyapigia,wakipigia,nilichopigia,ulichopigia,alichopigia,tulichopigia,mlichopigia,walichopigia,yaliopigia,kilichopigia,zilizopigia,inapigia,itapigia,ilipigia,imepigia,ingepigia,ingalipigia,iliyepigia,iliopigia,iliyopigia,ilipopigia,ikipigia,ilichopigia,zinapigia,zitapigia,zilipigia,zimepigia,zingepigia,zingalipigia,ziliyepigia,ziliopigia,ziliopigia,zilipopigia,zikipigia,yanapigia,yatapigia,yalipigia,yamepigia,yangepigia,yangalipigia,yaliyepigia,yaliyopigia,yalipopigia,yakipigia,lililopigia,aliyopigia,lilipigia,niliyepigia,ninayepigia,nitayepigia,tuliyepigia,tunayepigia,tutayepigia,uliyepigia,unayepigia,utayepigia,mliyepigia,mnayepigia,mtayepigia,aliyepigia,anayepigia,atayepigia,waliyepigia,wanayepigia,watayepigia
