word,stem,predicted,correct
adhinia,adhini,adhin,False
niliadhinia,adhini,adhin,False
ninaadhinia,adhini,adhin,False
nimeadhinia,adhini,adhin,False
nitaadhinia,adhini,adhin,False
tuliadhinia,adhini,adhin,False
tunaadhinia,adhini,adhin,False
tumeadhinia,adhini,adhin,False
tutaadhinia,adhini,adhin,False
uliadhinia,adhini,adhin,False
unaadhinia,adhini,adhin,False
umeadhinia,adhini,adhin,False
utaadhinia,adhini,adhin,False
mliadhinia,adhini,adhin,False
mnaadhinia,adhini,adhin,False
mmeadhinia,adhini,adhin,False
mtaadhinia,adhini,adhin,False
aliadhinia,adhini,adhin,False
anaadhinia,adhini,adhin,False
ameadhinia,adhini,adhin,False
ataadhinia,adhini,adhin,False
waliadhinia,adhini,adhin,False
wanaadhinia,adhini,adhin,False
wameadhinia,adhini,adhin,False
wataadhinia,adhini,adhin,False
huadhinia,adhini,adhin,False
kuadhinia,adhini,adhin,False
kumuadhinia,adhini,adhin,False
kuwaadhinia,adhini,adhin,False
ningeadhinia,adhini,adhin,False
ungeadhinia,adhini,adhin,False
angeadhinia,adhini,adhin,False
tungeadhinia,adhini,adhin,False
mngeadhinia,adhini,adhin,False
wangeadhinia,adhini,adhin,False
ningaliadhinia,adhini,adhin,False
ungaliadhinia,adhini,adhin,False
angaliadhinia,adhini,adhin,False
tungaliadhinia,adhini,adhin,False
mngaliadhinia,adhini,adhin,False
wangaliadhinia,adhini,adhin,False
niliyeadhinia,adhini,adhin,False
uliyeadhinia,adhini,adhin,False
aliyeadhinia,adhini,adhin,False
tuliyeadhinia,adhini,adhin,False
mliyeadhinia,adhini,adhin,False
waliyeadhinia,adhini,adhin,False
nilioadhinia,adhini,adhin,False
ulioadhinia,adhini,adhin,False
alioadhinia,adhini,adhin,False
tulioadhinia,adhini,adhin,False
mlioadhinia,adhini,adhin,False
walioadhinia,adhini,adhin,False
nilipoadhinia,adhini,adhin,False
ulipoadhinia,adhini,adhin,False
alipoadhinia,adhini,adhin,False
tulipoadhinia,adhini,adhin,False
mlipoadhinia,adhini,adhin,False
walipoadhinia,adhini,adhin,False
nijapoadhinia,adhini,adhin,False
